t_s,bees_on_board,in_total,out_total,intruder_events
1.0,3.36,0,0,0
2.0,5.48,0,0,0
3.0,4.8,0,0,0
4.0,3.6,1,0,0
5.0,5.12,2,0,0
6.0,4.64,2,0,0
7.0,3.8,2,0,0
8.0,4.52,2,0,0
9.0,4.52,2,0,0
10.0,5.08,3,0,0
11.0,3.88,3,0,0
12.0,3.84,3,0,0
13.0,3.32,3,0,0
14.0,4.16,3,0,0
15.0,4.12,3,0,0
16.0,4.04,4,0,0
17.0,4.96,5,0,0
18.0,5.52,5,1,0
19.0,5.84,7,1,0
20.0,5.72,8,1,0
21.0,7.2,10,1,0
22.0,6.36,11,1,0
23.0,7.32,12,1,0
24.0,5.36,14,1,0
25.0,6.28,15,1,0
26.0,7.72,15,1,0
27.0,6.6,15,1,0
28.0,5.52,15,1,0
29.0,7.2,17,1,0
30.0,9.72,19,1,0
31.0,11.72,21,1,0
32.0,12.16,22,1,0
33.0,8.48,24,2,0
34.0,10.08,24,2,0
35.0,7.72,25,2,0
36.0,9.16,28,2,0
37.0,10.52,29,2,0
38.0,9.32,29,2,0
39.0,9.64,30,2,0
40.0,7.44,31,2,0
41.0,5.64,33,2,0
42.0,5.08,35,2,0
43.0,5.32,35,2,0
44.0,6.76,35,2,0
45.0,5.12,35,2,0
46.0,6.28,37,2,0
47.0,7.92,37,2,0
48.0,7.44,37,2,0
49.0,6.76,38,3,0
50.0,8.12,38,3,0
51.0,7.6,38,3,0
52.0,7.08,39,3,0
53.0,6.2,39,3,0
54.0,7.52,39,3,0
55.0,6.88,40,4,0
56.0,7.56,40,4,0
57.0,6.4,40,4,0
58.0,7.56,40,4,0
59.0,7.8,41,4,0
60.0,7.84,41,4,0
61.0,9.72,41,4,0
62.0,8.84,42,4,0
63.0,10.0,42,4,0
64.0,9.32,42,5,0
65.0,9.56,43,5,0
66.0,8.28,44,5,0
67.0,7.16,44,5,0
68.0,5.0,44,5,0
69.0,6.64,44,5,0
70.0,10.48,44,5,0
71.0,8.36,44,5,0
72.0,8.08,44,6,0
73.0,9.8,45,6,0
74.0,9.0,45,6,0
75.0,9.4,45,6,0
76.0,9.16,45,6,0
77.0,9.04,46,6,0
78.0,8.48,47,6,0
79.0,6.92,48,6,0
80.0,7.8,49,6,0
81.0,8.56,49,7,0
82.0,5.48,51,7,0
83.0,4.84,53,7,0
84.0,5.6,53,7,0
85.0,6.08,54,7,0
86.0,4.44,56,7,0
87.0,5.12,57,7,0
88.0,5.44,58,7,0
89.0,4.72,58,7,0
90.0,6.44,58,7,0
91.0,8.52,59,7,0
92.0,7.12,59,7,0
93.0,2.84,61,7,0
94.0,2.04,64,7,0
95.0,6.2,65,7,0
96.0,5.8,66,7,0
97.0,7.04,66,7,0
98.0,3.68,68,7,0
99.0,4.2,68,7,0
100.0,3.36,69,7,0
101.0,2.96,70,7,0
102.0,5.56,71,7,0
103.0,6.12,71,8,0
104.0,8.48,72,8,0
105.0,4.2,72,8,0
106.0,4.64,76,8,0
107.0,4.84,77,8,0
108.0,6.56,78,8,0
109.0,8.92,78,9,0
110.0,7.52,79,9,0
111.0,7.84,80,9,0
112.0,5.56,80,9,0
113.0,4.4,81,9,0
114.0,7.72,83,9,0
115.0,5.52,83,9,0
116.0,5.12,86,9,0
117.0,5.2,86,9,0
118.0,3.68,86,9,0
119.0,3.0,86,9,0
