t_s,kind,track
3.14,IN,8
3.54,IN,9
9.02,IN,22
14.22,IN,34
16.02,IN,45
17.22,OUT,76
17.82,IN,67
18.14,IN,75
18.3,IN,33
19.22,IN,82
20.62,IN,106
21.18,IN,110
21.34,IN,104
23.62,IN,172
22.82,IN,140
23.38,IN,145
27.42,IN,143
27.82,IN,201
28.46,IN,203
28.54,IN,218
29.3,IN,246
29.82,IN,244
30.34,IN,252
32.02,IN,307
31.3,IN,282
32.54,OUT,232
33.38,IN,290
34.5,IN,333
34.54,IN,317
34.7,IN,318
35.18,IN,327
38.54,IN,401
39.1,IN,404
39.54,IN,381
39.9,IN,354
40.5,IN,413
40.54,IN,414
44.5,IN,436
44.58,IN,424
48.14,OUT,481
47.46,IN,456
50.94,IN,487
54.22,OUT,518
53.9,IN,495
57.98,IN,563
61.18,IN,583
63.7,OUT,584
63.54,IN,603
65.14,IN,587
71.74,OUT,694
72.86,IN,714
75.86,IN,713
76.18,IN,730
77.9,IN,780
78.34,IN,784
80.9,OUT,802
80.5,IN,808
81.1,IN,811
81.3,IN,824
81.34,IN,818
84.46,IN,881
84.42,IN,809
85.1,IN,851
86.38,IN,894
86.9,IN,890
90.26,IN,945
91.66,IN,953
91.9,IN,949
92.38,IN,973
92.5,IN,967
92.82,IN,962
94.5,IN,991
95.94,IN,1033
96.58,IN,1038
97.58,IN,1062
98.3,IN,1041
99.34,IN,1063
100.58,IN,1084
102.7,OUT,1123
102.7,IN,1113
104.18,IN,1141
104.22,IN,1132
104.58,IN,1142
104.86,IN,1146
105.98,IN,1127
107.46,IN,1187
108.54,OUT,1209
109.1,IN,1186
109.9,IN,1216
111.26,IN,1242
112.18,IN,1250
113.7,IN,1264
114.3,IN,1265
114.74,IN,1262
114.9,IN,1267
118.26,IN,1287
