t_s,bees_on_board,in_total,out_total,intruder_events
1.0,25.4,0,3,0
2.0,25.76,1,4,0
3.0,20.0,1,4,0
4.0,21.04,1,4,0
5.0,18.96,1,4,0
6.0,18.92,1,4,0
7.0,17.48,2,5,0
8.0,20.92,2,6,0
9.0,20.48,2,6,0
10.0,20.12,2,6,0
11.0,16.12,2,6,0
12.0,17.68,3,7,0
13.0,17.36,3,7,0
14.0,14.28,4,7,0
15.0,13.4,4,7,0
16.0,12.28,5,7,0
17.0,15.8,6,7,0
18.0,19.72,6,8,0
19.0,23.64,6,8,0
20.0,25.6,6,9,0
21.0,20.88,6,9,0
22.0,20.36,6,9,0
23.0,19.44,6,9,0
24.0,18.56,6,9,0
25.0,18.2,8,9,0
26.0,22.4,8,9,0
27.0,21.04,8,10,0
28.0,25.48,8,11,0
29.0,19.28,8,11,0
30.0,18.68,9,11,0
31.0,21.76,9,11,0
32.0,22.56,9,12,0
33.0,19.32,10,13,0
34.0,21.56,11,13,0
35.0,23.72,12,14,0
36.0,25.4,12,15,0
37.0,22.72,14,15,0
38.0,19.4,16,15,0
39.0,19.8,16,15,0
40.0,19.36,16,15,0
41.0,19.84,16,16,0
42.0,20.28,17,17,0
43.0,24.12,17,17,0
44.0,24.28,17,17,0
45.0,24.36,19,18,0
46.0,31.88,19,20,0
47.0,33.0,19,20,0
48.0,31.36,19,21,0
49.0,25.96,20,21,0
50.0,28.28,21,22,0
51.0,29.92,21,23,0
52.0,27.8,21,23,0
53.0,24.68,22,23,0
54.0,21.6,23,23,0
55.0,27.68,24,24,0
56.0,27.92,24,24,0
57.0,24.76,25,24,0
58.0,22.76,25,25,0
59.0,21.96,25,25,0
60.0,21.08,26,25,0
61.0,23.4,26,25,0
62.0,27.56,26,25,0
63.0,23.0,26,26,0
64.0,20.96,28,26,0
65.0,24.48,29,26,0
66.0,24.84,29,26,0
67.0,27.6,29,26,0
68.0,26.04,30,27,0
69.0,25.92,30,27,0
70.0,26.08,30,27,0
71.0,28.36,30,27,0
72.0,31.52,31,29,0
73.0,32.6,31,29,0
74.0,30.44,32,29,0
75.0,27.64,33,30,0
76.0,26.4,33,30,0
77.0,29.12,33,30,0
78.0,30.6,33,30,0
79.0,29.96,33,31,0
80.0,31.08,33,31,0
81.0,32.4,34,31,0
82.0,28.76,34,31,0
83.0,29.28,34,31,0
84.0,27.36,35,31,0
85.0,28.36,35,31,0
86.0,28.44,35,31,0
87.0,29.88,37,31,0
88.0,30.88,37,32,0
89.0,32.24,38,33,0
90.0,33.84,38,33,0
91.0,33.04,38,33,0
92.0,33.36,38,34,0
93.0,33.36,38,34,0
94.0,28.8,38,34,0
95.0,27.8,38,34,0
96.0,25.08,38,34,0
97.0,26.64,38,34,0
98.0,26.4,38,34,0
99.0,29.08,38,34,0
100.0,24.08,39,34,0
101.0,23.4,39,34,0
102.0,24.64,39,34,0
103.0,21.64,39,34,0
104.0,20.72,39,34,0
105.0,22.88,39,34,0
106.0,25.12,39,34,0
107.0,26.84,39,34,0
108.0,30.64,39,35,0
109.0,33.32,39,35,0
110.0,34.2,39,35,0
111.0,32.52,39,36,0
112.0,31.16,40,37,0
113.0,34.68,40,37,0
114.0,37.52,41,37,0
115.0,38.04,41,39,0
116.0,37.08,41,39,0
117.0,34.84,41,40,0
118.0,38.16,41,41,0
119.0,38.68,41,41,0
120.0,35.36,41,41,0
