t_s,kind,track
0.34,OUT,21
0.54,OUT,28
0.78,OUT,23
1.54,OUT,8
1.82,IN,29
6.14,OUT,111
5.38,IN,89
7.58,OUT,143
10.26,IN,97
11.54,OUT,169
13.1,IN,207
14.86,IN,214
15.94,IN,222
17.14,OUT,242
19.9,OUT,288
23.54,IN,300
23.98,IN,281
26.34,OUT,346
27.34,OUT,367
28.74,IN,347
31.78,OUT,412
31.82,IN,368
32.78,OUT,418
32.54,IN,401
33.54,IN,428
34.82,OUT,391
35.3,OUT,420
36.38,IN,399
36.06,IN,369
36.9,IN,416
37.06,IN,443
40.7,OUT,499
40.54,IN,495
41.78,OUT,524
44.02,OUT,558
44.7,IN,563
43.9,IN,377
45.46,OUT,569
45.82,OUT,517
47.46,OUT,18
47.98,IN,601
48.26,IN,598
49.78,OUT,631
50.46,OUT,596
52.78,IN,548
53.9,IN,667
53.74,IN,622
54.9,OUT,698
55.3,IN,710
57.1,OUT,632
58.74,IN,760
62.06,OUT,805
62.3,IN,785
62.34,IN,803
63.98,IN,767
67.74,IN,865
67.82,OUT,883
71.02,IN,838
71.14,OUT,840
71.22,OUT,904
72.42,IN,924
74.38,OUT,831
73.62,IN,941
78.66,OUT,1026
80.86,IN,971
82.82,IN,1064
86.26,IN,1104
85.5,IN,1018
87.82,OUT,1124
88.5,IN,1114
88.7,OUT,1072
91.86,OUT,1188
98.74,IN,1231
107.62,OUT,1346
110.86,OUT,1387
111.14,OUT,1333
111.78,IN,1325
113.26,IN,1360
114.38,OUT,1390
114.62,OUT,1410
116.06,OUT,1435
117.22,OUT,1437
