t_s,bees_on_board,in_total,out_total,intruder_events
1.0,0.52,0,0,0
2.0,1.64,0,0,0
3.0,1.92,0,0,0
4.0,2.24,1,0,0
5.0,3.88,1,0,0
6.0,2.44,2,0,0
7.0,1.24,3,0,0
8.0,1.56,3,0,0
9.0,4.04,4,0,0
10.0,3.44,4,0,0
11.0,8.24,4,0,0
12.0,7.6,5,0,0
13.0,6.48,6,1,0
14.0,9.16,6,3,0
15.0,9.64,10,3,0
16.0,11.64,10,3,0
17.0,12.68,10,3,0
18.0,11.76,12,3,0
19.0,13.96,14,3,0
20.0,14.64,14,3,0
21.0,15.04,17,3,0
22.0,16.76,17,3,0
23.0,17.64,17,3,0
24.0,17.32,18,3,0
25.0,15.52,18,3,0
26.0,17.0,19,3,0
27.0,17.92,20,3,0
28.0,16.92,23,3,0
29.0,19.28,26,5,0
30.0,21.4,28,6,0
31.0,18.52,30,7,0
32.0,18.96,31,7,0
33.0,22.4,32,7,0
34.0,22.44,32,7,0
35.0,19.4,33,7,0
36.0,19.04,35,9,0
37.0,19.36,35,9,0
38.0,18.76,36,9,0
39.0,21.68,38,9,0
40.0,20.12,39,9,0
41.0,15.8,41,9,0
42.0,24.4,41,10,0
43.0,26.68,42,13,0
44.0,26.24,44,14,0
45.0,29.32,46,15,0
46.0,26.64,46,15,0
47.0,28.12,47,16,0
48.0,29.32,48,16,0
49.0,27.2,49,16,0
50.0,22.96,50,16,0
51.0,17.8,51,17,0
52.0,21.44,51,18,0
53.0,22.04,53,19,0
54.0,19.76,53,19,0
55.0,17.32,55,20,0
56.0,16.24,58,20,0
57.0,21.48,59,20,0
58.0,22.28,59,22,0
59.0,20.16,59,22,0
60.0,16.28,62,22,0
61.0,17.92,63,23,0
62.0,21.68,63,23,0
63.0,23.92,64,24,0
64.0,21.52,64,24,0
65.0,15.64,64,24,0
66.0,15.84,64,24,0
67.0,15.92,64,24,0
68.0,12.64,66,24,0
69.0,10.4,66,24,0
70.0,9.52,66,24,0
71.0,12.32,68,24,0
72.0,13.64,68,24,0
73.0,14.96,68,24,0
74.0,14.64,68,24,0
75.0,10.08,69,24,0
76.0,8.76,70,24,0
77.0,8.4,71,24,0
78.0,10.44,73,24,0
79.0,11.64,73,24,0
80.0,11.04,73,24,0
81.0,11.52,74,24,0
82.0,9.08,75,24,0
83.0,11.0,77,24,0
84.0,9.84,77,24,0
85.0,8.2,77,24,0
86.0,10.52,77,25,0
87.0,9.32,77,25,0
88.0,9.04,78,25,0
89.0,10.52,78,25,0
90.0,11.76,78,25,0
91.0,13.84,78,25,0
92.0,10.84,79,25,0
93.0,9.56,80,25,0
94.0,10.68,80,25,0
95.0,11.08,80,25,0
96.0,17.48,80,25,0
97.0,13.28,80,25,0
98.0,11.4,81,26,0
99.0,11.6,83,26,0
100.0,9.72,85,26,0
101.0,11.0,86,26,0
102.0,12.28,86,26,0
103.0,8.72,86,26,0
104.0,10.16,86,26,0
105.0,10.92,87,26,0
106.0,11.04,87,26,0
107.0,9.56,87,26,0
108.0,8.16,89,26,0
109.0,6.68,89,27,0
110.0,9.12,90,27,0
111.0,7.52,90,27,0
112.0,7.92,90,27,0
113.0,4.76,90,27,0
114.0,4.84,91,27,0
115.0,3.36,91,27,0
116.0,3.84,92,28,0
117.0,1.88,93,28,0
118.0,4.96,93,28,0
119.0,3.8,93,28,0
120.0,2.52,95,28,0
