t_s,kind,track
2.26,IN,2
4.3,IN,21
6.06,IN,31
7.98,IN,33
11.14,IN,65
12.46,OUT,109
11.94,IN,67
13.14,OUT,108
13.58,OUT,122
13.34,IN,94
13.58,IN,105
13.62,IN,104
14.1,IN,110
16.78,IN,128
17.02,IN,158
17.3,IN,170
17.54,IN,179
19.5,IN,199
19.5,IN,206
20.1,IN,220
23.5,IN,314
25.54,IN,359
26.82,IN,388
26.66,IN,377
27.62,IN,404
27.18,IN,290
28.14,IN,407
28.18,OUT,387
28.18,OUT,422
27.74,IN,382
28.62,IN,418
29.18,IN,431
29.22,IN,437
29.78,OUT,439
30.18,IN,438
30.5,IN,460
30.54,OUT,396
31.94,IN,477
32.18,IN,494
34.26,IN,568
35.34,OUT,495
35.46,OUT,586
35.86,IN,466
35.86,IN,528
37.5,IN,617
38.54,IN,638
38.14,IN,599
39.34,IN,651
40.5,IN,685
40.98,IN,704
41.5,OUT,711
42.58,OUT,576
42.62,IN,699
42.66,OUT,742
42.7,OUT,729
43.58,IN,782
43.7,OUT,738
43.82,IN,778
44.22,IN,788
44.62,IN,800
44.86,OUT,798
46.54,OUT,826
46.86,IN,858
47.7,IN,821
48.66,IN,883
49.74,IN,897
49.58,IN,830
50.82,OUT,922
51.94,OUT,921
52.3,IN,945
52.7,IN,951
52.74,OUT,946
54.38,IN,927
54.58,IN,966
54.9,OUT,929
55.02,IN,986
55.34,IN,965
54.7,IN,891
56.74,IN,952
57.18,OUT,1020
57.34,OUT,998
59.42,IN,1037
59.54,IN,1055
59.58,IN,1014
60.58,IN,1026
60.98,OUT,1065
62.18,OUT,1021
62.66,IN,1126
67.1,IN,1122
67.22,IN,1128
70.18,IN,1217
69.78,IN,1214
73.98,IN,1260
74.3,IN,1200
75.5,IN,1187
77.5,IN,1328
77.66,IN,1319
80.7,IN,1346
81.98,IN,1385
81.3,IN,1367
81.5,IN,1365
85.7,OUT,1423
86.22,IN,1424
90.9,IN,1499
91.98,IN,1489
97.06,OUT,1596
97.62,IN,1608
98.22,IN,1604
97.94,IN,1592
99.46,IN,1632
99.1,IN,1611
99.7,IN,1614
103.82,IN,1669
106.62,IN,1695
106.74,IN,1684
108.58,OUT,1730
108.26,IN,1726
112.58,IN,1774
114.62,IN,1795
115.74,OUT,1804
116.14,IN,1801
118.7,IN,1819
118.74,IN,1810
119.22,IN,1820
